task,isolated,accuracy_percent
8,0,0
8,1,0
8,2,0
8,3,0
8,4,100
8,5,100
8,6,100
8,7,100
8,8,0
8,9,0
8,10,100
8,11,100
8,12,100
8,13,100
8,15,0
8,16,100
8,17,0
8,18,100
8,19,0
8,20,100
8,21,0
8,22,100
8,24,0
8,25,0
8,26,100
8,27,0
8,28,100
8,29,0
8,30,0
8,31,100
8,32,100
8,33,0
8,34,0
8,35,0
8,36,0
8,37,100
8,38,0
8,39,0
8,40,0
8,41,100
8,42,0
8,43,100
8,44,0
8,45,100
8,46,0
8,47,100
8,48,100
8,49,100
8,50,100
8,51,0
8,52,0
8,53,0
8,54,100
8,55,0
8,56,100
8,57,100
8,58,100
8,59,100
8,60,100
8,61,100
8,62,0
8,63,100
8,64,100
8,65,100
8,66,0
8,67,0
8,68,0
8,69,100
8,70,0
8,71,100
8,72,100
8,73,100
8,74,100
