task,isolated,accuracy_percent
7,0,0
7,1,100
7,2,0
7,3,0
7,4,100
7,5,100
7,6,100
7,7,100
7,8,100
7,9,0
7,10,0
7,11,100
7,12,100
7,13,0
7,15,100
7,16,100
7,17,100
7,18,0
7,19,0
7,20,100
7,21,0
7,22,100
7,24,0
7,25,0
7,26,100
7,27,0
7,28,100
7,29,0
7,30,0
7,31,100
7,32,100
7,33,0
7,34,0
7,35,0
7,36,0
7,37,100
7,38,100
7,39,0
7,40,100
7,41,0
7,42,0
7,43,100
7,44,100
7,45,0
7,46,100
7,47,100
7,48,100
7,49,100
7,50,100
7,51,100
7,52,100
7,53,100
7,54,100
7,55,100
7,56,0
7,57,0
7,58,100
7,59,100
7,60,100
7,61,100
7,62,0
7,63,0
7,64,0
7,65,100
7,66,100
7,67,100
7,68,0
7,69,100
7,70,0
7,71,100
7,72,100
7,73,0
7,74,100
